ocid,id,tag,buyer,title,buyer/identifier/legalName,planning/budget/amount/amount,tender/procuringEntity,tender/title,tender/description,tender/procurementMethod,tender/tenderPeriod/startDate,tender/tenderPeriod/endDate,tender/milestones/status,tender/title,tender/description,tendervalueamount,procurementMethod,tender/tenderPeriod/startDate,tender/tenderPeriod/endDate,tender/procuringEntity,tender/procuringEntity/additionalIdentifiers/legalName,tender/procuringEntity/name,awards/title,awards/description,awards/date,awards/value/amount,awards/suppliers,awards/contractPeriod/startDate,awards/contractPeriod/endDate,awards/suppliers/identifier/legalName,awards/suppliers/additionalIdentifiers/legalName,contractor,awards/amendment/date,contracts/title,contracts/description,contracts/period/startDate,contracts/period/endDate,contractscomp,contractsimp,category
ocds-gyl66f-borbda-696obg,ocds-gyl66f-borbda-696obg,contract,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Construction of Small Hydro Power Facilities at Owena Dam,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,20000000,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Construction of Small Hydro Power Facilities at Owena Dam,Construction of Small Hydro Power Facilities at Owena Dam,NCB,30/06/2014,21/08/2014,ON-GOING,Construction of Small Hydro Power Facilities at Owena Dam,Construction of Small Hydro Power Facilities at Owena Dam,404751861.4,NCB,30/06/2014,21/08/2014,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Construction of Small Hydro Power Facilities at Owena Dam,Construction of Small Hydro Power Facilities at Owena Dam,09/01/2011,404751861.4,DTEC Nigeria Limited,40672,15/12/2014,DTEC Nigeria Limited,DTEC Nigeria Limited,DTEC Nigeria Limited,NIL,Construction of Small Hydro Power Facilities at Owena Dam,Construction of Small Hydro Power Facilities at Owena Dam,40672,15/12/2014,0.7,ON-GOING,goods
ocds-gyl66f-borbda-8w7obl,ocds-gyl66f-borbda-8w7obl,contract,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,"Construction of Small Hydro Power Facilities at Okhunwon, Edo State.",BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,20000000,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,"Construction of Small Hydro Power Facilities at Okhunwon, Edo State.","Construction of Small Hydro Power Facilities at Okhunwon, Edo State.",NCB,30/06/2014,21/08/2015,ON-GOING,"Construction of Small Hydro Power Facilities at Okhunwon, Edo State.","Construction of Small Hydro Power Facilities at Okhunwon, Edo State.",156220610.1,NCB,30/06/2014,21/08/2015,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,"Construction of Small Hydro Power Facilities at Okhunwon, Edo State.","Construction of Small Hydro Power Facilities at Okhunwon, Edo State.",30/11/2011,156220610.1,DTEC Nigeria Limited,40675,15/12/2014,DTEC Nigeria Limited,DTEC Nigeria Limited,DTEC Nigeria Limited,NIL,"Construction of Small Hydro Power Facilities at Okhunwon, Edo State.","Construction of Small Hydro Power Facilities at Okhunwon, Edo State.",40675,15/12/2014,0.7,ON-GOING,works
ocds-gyl66f-borbda-27yetd,ocds-gyl66f-borbda-27yetd,contract,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Construction of Itapaji Small Hydro Power Project,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,16000000,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Construction of Itapaji Small Hydro Power Project,Construction of Itapaji Small Hydro Power Project,NCB,30/06/2014,21/08/2016,ON-GOING,Construction of Itapaji Small Hydro Power Project,Construction of Itapaji Small Hydro Power Project,54389500,NCB,30/06/2014,21/08/2016,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Construction of Itapaji Small Hydro Power Project,Construction of Itapaji Small Hydro Power Project,27/09/2013,54389500,DTEC Nigeria Limited,29/09/2013,15/12/2014,DTEC Nigeria Limited,DTEC Nigeria Limited,DTEC Nigeria Limited,NIL,Construction of Itapaji Small Hydro Power Project,Construction of Itapaji Small Hydro Power Project,29/09/2013,15/12/2014,0.6,ON-GOING,consulting
ocds-gyl66f-borbda-t6ybla,ocds-gyl66f-borbda-t6ybla,contract,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,"Supply of 33,000 litres of diesel for Illushi Ega/Oria Irrigation Project. (Balance payment)",BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,34000000,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,"Supply of 33,000 litres of diesel for Illushi Ega/Oria Irrigation Project. (Balance payment)","Supply of 33,000 litres of diesel for Illushi Ega/Oria Irrigation Project. (Balance payment)",NCB,30/06/2014,21/08/2014,COMPLETED,"Supply of 33,000 litres of diesel for Illushi Ega/Oria Irrigation Project. (Balance payment)","Supply of 33,000 litres of diesel for Illushi Ega/Oria Irrigation Project. (Balance payment)",7796250,NCB,30/06/2014,21/08/2014,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,"Supply of 33,000 litres of diesel for Illushi Ega/Oria Irrigation Project. (Balance payment)","Supply of 33,000 litres of diesel for Illushi Ega/Oria Irrigation Project. (Balance payment)",06/06/2013,7796250,Aiyanyo Aigbekaen & Co.,41461,15/12/2014,Aiyanyo Aigbekaen & Co.,Aiyanyo Aigbekaen & Co.,Aiyanyo Aigbekaen & Co.,NIL,"Supply of 33,000 litres of diesel for Illushi Ega/Oria Irrigation Project. (Balance payment)","Supply of 33,000 litres of diesel for Illushi Ega/Oria Irrigation Project. (Balance payment)",41461,15/12/2014,1,COMPLETED,nonconsulting
ocds-gyl66f-borbda-zt1ngs,ocds-gyl66f-borbda-zt1ngs,contract,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Construction/Renovation Works at Illushi-Ega-Oria Irrigation Project,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,34000000,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Construction/Renovation Works at Illushi-Ega-Oria Irrigation Project,Construction/Renovation Works at Illushi-Ega-Oria Irrigation Project,NCB,30/06/2014,21/08/2014,ON-GOING,Construction/Renovation Works at Illushi-Ega-Oria Irrigation Project,Construction/Renovation Works at Illushi-Ega-Oria Irrigation Project,28195733.06,NCB,30/06/2014,21/08/2014,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Construction/Renovation Works at Illushi-Ega-Oria Irrigation Project,Construction/Renovation Works at Illushi-Ega-Oria Irrigation Project,20/10/2014,28195733.06,Uniworld Integrated Services Limited,28/10/2014,15/12/2014,Uniworld Integrated Services Limited,Uniworld Integrated Services Limited,Uniworld Integrated Services Limited,NIL,Construction/Renovation Works at Illushi-Ega-Oria Irrigation Project,Construction/Renovation Works at Illushi-Ega-Oria Irrigation Project,28/10/2014,15/12/2014,0,ON-GOING,goods
ocds-gyl66f-borbda-w2tsse,ocds-gyl66f-borbda-w2tsse,contract,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Rehabilitation of Access Road at Illushi-Ega-Oria Irrigation Project,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,34000000,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Rehabilitation of Access Road at Illushi-Ega-Oria Irrigation Project,Rehabilitation of Access Road at Illushi-Ega-Oria Irrigation Project,NCB,30/06/2014,21/08/2014,COMPLETED,Rehabilitation of Access Road at Illushi-Ega-Oria Irrigation Project,Rehabilitation of Access Road at Illushi-Ega-Oria Irrigation Project,5472335.4,NCB,30/06/2014,21/08/2014,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Rehabilitation of Access Road at Illushi-Ega-Oria Irrigation Project,Rehabilitation of Access Road at Illushi-Ega-Oria Irrigation Project,20/10/2014,5472335.4,Uniworld Integrated Services Limited,20/10/2014,15/12/2014,Uniworld Integrated Services Limited,Uniworld Integrated Services Limited,Uniworld Integrated Services Limited,NIL,Rehabilitation of Access Road at Illushi-Ega-Oria Irrigation Project,Rehabilitation of Access Road at Illushi-Ega-Oria Irrigation Project,20/10/2014,15/12/2014,1,COMPLETED,works
ocds-gyl66f-borbda-mt3rse,ocds-gyl66f-borbda-mt3rse,contract,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Rehabilitation of Access Road at Aisegba Dam,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,12000000,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Rehabilitation of Access Road at Aisegba Dam,Rehabilitation of Access Road at Aisegba Dam,NCB,00/01/1900,00/01/1900,COMPLETED,Rehabilitation of Access Road at Aisegba Dam,Rehabilitation of Access Road at Aisegba Dam,4958814,NCB,00/01/1900,00/01/1900,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Rehabilitation of Access Road at Aisegba Dam,Rehabilitation of Access Road at Aisegba Dam,23/12/2014,4958814,Richamen Ventures,23/12/2014,15/12/2014,Richamen Ventures,Richamen Ventures,Richamen Ventures,NIL,Rehabilitation of Access Road at Aisegba Dam,Rehabilitation of Access Road at Aisegba Dam,23/12/2014,15/12/2014,1,COMPLETED,consulting
ocds-gyl66f-borbda-w9kdsl,ocds-gyl66f-borbda-w9kdsl,contract,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Clearing/Desilting of Reservoir at Aisegba Dam,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,12000000,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Clearing/Desilting of Reservoir at Aisegba Dam,Clearing/Desilting of Reservoir at Aisegba Dam,NCB,00/01/1900,00/01/1900,COMPLETED,Clearing/Desilting of Reservoir at Aisegba Dam,Clearing/Desilting of Reservoir at Aisegba Dam,3675000,NCB,00/01/1900,00/01/1900,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Clearing/Desilting of Reservoir at Aisegba Dam,Clearing/Desilting of Reservoir at Aisegba Dam,23/12/2014,3675000,Mudiamen Concepts Nigeria Ltd,23/12/2014,15/12/2014,Mudiamen Concepts Nigeria Ltd,Mudiamen Concepts Nigeria Ltd,Mudiamen Concepts Nigeria Ltd,NIL,Clearing/Desilting of Reservoir at Aisegba Dam,Clearing/Desilting of Reservoir at Aisegba Dam,23/12/2014,15/12/2014,1,COMPLETED,nonconsulting
ocds-gyl66f-borbda-mkksbm,ocds-gyl66f-borbda-mkksbm,contract,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Construction Works at Iju/Itaogbolu Project,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,20000000,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Construction Works at Iju/Itaogbolu Project,Construction Works at Iju/Itaogbolu Project,NCB,30/06/2014,21/08/2014,ON-GOING,Construction Works at Iju/Itaogbolu Project,Construction Works at Iju/Itaogbolu Project,51689715,NCB,30/06/2014,21/08/2014,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Construction Works at Iju/Itaogbolu Project,Construction Works at Iju/Itaogbolu Project,20/10/2014,51689715,Expro Light Nigeria Limited,30/10/2014,15/12/2014,Expro Light Nigeria Limited,Expro Light Nigeria Limited,Expro Light Nigeria Limited,NIL,Construction Works at Iju/Itaogbolu Project,Construction Works at Iju/Itaogbolu Project,30/10/2014,15/12/2014,0,ON-GOING,goods
ocds-gyl66f-borbda-2wlmoa,ocds-gyl66f-borbda-2wlmoa,contract,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Part payment for the supervision of Construction of Irrigation Facilities at Erusu Arigidi Earth Dam.,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,50000000,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Part payment for the supervision of Construction of Irrigation Facilities at Erusu Arigidi Earth Dam.,Part payment for the supervision of Construction of Irrigation Facilities at Erusu Arigidi Earth Dam.,NCB,30/06/2014,21/08/2014,COMPLETED,Part payment for the supervision of Construction of Irrigation Facilities at Erusu Arigidi Earth Dam.,Part payment for the supervision of Construction of Irrigation Facilities at Erusu Arigidi Earth Dam.,2811492,NCB,30/06/2014,21/08/2014,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,BENIN-OWENA RIVER BASIN DEVELOPMENT AUTHORITY,Part payment for the supervision of Construction of Irrigation Facilities at Erusu Arigidi Earth Dam.,Part payment for the supervision of Construction of Irrigation Facilities at Erusu Arigidi Earth Dam.,20/10/2014,2811492,FIC Consultant Limited,0,15/12/2014,FIC Consultant Limited,FIC Consultant Limited,FIC Consultant Limited,NIL,Part payment for the supervision of Construction of Irrigation Facilities at Erusu Arigidi Earth Dam.,Part payment for the supervision of Construction of Irrigation Facilities at Erusu Arigidi Earth Dam.,0,15/12/2014,1,COMPLETED,works
